PROVINCIA;Departamento;Localidad;FECHA;CONFIRMADOS;RECUPERADOS;FALLECIDOS;INTERNADOS;UTI;EN ESTUDIO;AISLADOS;ESTUDIADOS;DESCARTADOS
Córdoba;Colón;Saldán;29/4/2020;55;;;;;;;;
Córdoba;Colón;Villa Allende;29/4/2020;13;;;;;;;;
Córdoba;Colón;Mendiolaza;29/4/2020;6;;;;;;;;
Córdoba;Colón;La Calera;29/4/2020;3;;;;;;;;
Córdoba;Colón;Colonia Caroya;29/4/2020;2;;;;;;;;
Córdoba;Colón;Villa Cerro Azul;29/4/2020;1;;;;;;;;
Córdoba;Colón;Salsipuedes;29/4/2020;1;;;;;;;;
Córdoba;Colón;Río Ceballos;29/4/2020;1;;;;;;;;
Córdoba;Gral.San Martin;Villa María;29/4/2020;11;;;;;;;;
Córdoba;Gral.San Martin;Villa Nueva;29/4/2020;7;;;;;;;;
Córdoba;Gral.San Martin;La Playosa;29/4/2020;6;;;;;;;;
Córdoba;Río Cuarto;Río Cuarto;29/4/2020;11;;;;;;;;
Córdoba;Río Cuarto;San Basilio;29/4/2020;3;;;;;;;;
Córdoba;Río Cuarto;Vicuña Mackenna;29/4/2020;2;;;;;;;;
Córdoba;Punilla;La Cumbre;29/4/2020;7;;;;;;;;
Córdoba;Punilla;Cosquín;29/4/2020;3;;;;;;;;
Córdoba;Punilla;Villa Carlos Paz;29/4/2020;4;;;;;;;;
Córdoba;Punilla;Villa Giardino;29/4/2020;1;;;;;;;;
Córdoba;Santa María;Alta Gracia;29/4/2020;7;;;;;;;;
Córdoba;Santa María;Villa Parque Santa Ana;29/4/2020;6;;;;;;;;
Córdoba;Santa María;Falda del Carmen;29/4/2020;1;;;;;;;;
Córdoba;San Justo;Brinkmann;29/4/2020;4;;;;;;;;
Córdoba;San Justo;Morteros;29/4/2020;3;;;;;;;;
Córdoba;San Justo;Marull;29/4/2020;2;;;;;;;;
Córdoba;San Justo;San Francisco;29/4/2020;2;;;;;;;;
Córdoba;Unión;Bell Ville;29/4/2020;2;;;;;;;;
Córdoba;Unión;Justiniano Posse;29/4/2020;2;;;;;;;;
Córdoba;Unión;Morrison;29/4/2020;2;;;;;;;;
Córdoba;Unión;San Marcos;29/4/2020;2;;;;;;;;
Córdoba;Marcos Juárez;Colonia Italiana;29/4/2020;2;;;;;;;;
Córdoba;Marcos Juárez;Corral de Bustos;29/4/2020;2;;;;;;;;
Córdoba;Gral.Roca;Huinca Renancó;29/4/2020;2;;;;;;;;
Córdoba;Calamuchita;Villa General Belgrano;29/4/2020;2;;;;;;;;
Córdoba;Cruz del Eje;San Marcos Sierra;29/4/2020;2;;;;;;;;
Córdoba;Roque Sáenz Peña;Laboulaye;29/4/2020;1;;;;;;;;
Chaco;;Barranqueras ;29/4/2020;28;;;;;;;;
Chaco;;Charata ;29/4/2020;2;;;;;;;;
Chaco;;Isla del Cerrito ;29/4/2020;5;;;;;;;;
Chaco;;Fontana ;29/4/2020;11;;;;;;;;
Chaco;;La Leonesa;29/4/2020;1;;;;;;;;
Chaco;;Las Palmas ;29/4/2020;1;;;;;;;;
Chaco;;Makallé ;29/4/2020;1;;;;;;;;
Chaco;;Margarita Belén ;29/4/2020;2;;;;;;;;
Chaco;;Nueva Pompeya ;29/4/2020;1;;;;;;;;
Chaco;;Pampa del Indio ;29/4/2020;1;;;;;;;;
Chaco;;Puerto Bermejo Nuevo;29/4/2020;6;;;;;;;;
Chaco;;Puerto Vilelas ;29/4/2020;5;;;;;;;;
Chaco;;Villa Angela ;29/4/2020;3;;;;;;;;
Chaco;;Resistencia ;29/4/2020;244;;;;;;;;
Chaco;;Puerto Eva Perón;29/4/2020;1;;;;;;;;
Ciudad Autónoma de Buenos Aires;FLORES - PARQUE CHACABUCO;Comuna 7;29/4/2020;108;;;;;;;;
Ciudad Autónoma de Buenos Aires;BELGRANO - COLEGIALES - NUÂ¥EZ;Comuna 13;29/4/2020;86;;;;;;;;
Ciudad Autónoma de Buenos Aires;PALERMO;Comuna 14;29/4/2020;81;;;;;;;;
Ciudad Autónoma de Buenos Aires;BALVANERA - SAN CRISTOBAL;Comuna 3;29/4/2020;79;;;;;;;;
Ciudad Autónoma de Buenos Aires;RECOLETA;Comuna 2;29/4/2020;58;;;;;;;;
Ciudad Autónoma de Buenos Aires;VILLA DEL PARQUE - VILLA  DEVOTO - VILLA GRAL. MITRE - VILLA SANTA RITA;Comuna 11;29/4/2020;55;;;;;;;;
Ciudad Autónoma de Buenos Aires;CONSTITUCION - MONSERRAT - PUERTO MADERO -  RETIRO - SAN NICOLAS - SAN TELMO;Comuna 1;29/4/2020;52;;;;;;;;
Ciudad Autónoma de Buenos Aires;COGHLAN - SAAVEDRA - VILLA PUEYRREDON - VILLA URQUIZA;Comuna 12;29/4/2020;51;;;;;;;;
Ciudad Autónoma de Buenos Aires;ALMAGRO - BOEDO;Comuna 5;29/4/2020;46;;;;;;;;
Ciudad Autónoma de Buenos Aires;FLORESTA - MONTE CASTRO - VELEZ SARSFIELD - VERSALLES - VILLA LURO - VILLA REAL;Comuna 10;29/4/2020;46;;;;;;;;
Ciudad Autónoma de Buenos Aires;AGRONOMIA - CHACARITA -  PARQUE CHAS -  PATERNAL - VILLA CRESPO - VILLA ORTUZAR;Comuna 15;29/4/2020;44;;;;;;;;
Ciudad Autónoma de Buenos Aires;BARRACAS - BOCA - NUEVA POMPEYA - PARQUE PATRICIOS;Comuna 4;29/4/2020;35;;;;;;;;
Ciudad Autónoma de Buenos Aires;CABALLITO;Comuna 6;29/4/2020;32;;;;;;;;
Ciudad Autónoma de Buenos Aires;LINIERS - MATADEROS - PARQUE AVELLANEDA;Comuna 9;29/4/2020;28;;;;;;;;
Ciudad Autónoma de Buenos Aires;VILLA LUGANO - VILLA RIACHUELO - VILLA SOLDATI;Comuna 8;29/4/2020;23;;;;;;;;
Buenos Aires;;La Matanza;29/4/2020;105;;;;;;;;
Buenos Aires;;General San Martín;29/4/2020;99;;;;;;;;
Buenos Aires;;Quilmes;29/4/2020;65;;;;;;;;
Buenos Aires;;Vicente López;29/4/2020;61;;;;;;;;
Buenos Aires;;Pilar;29/4/2020;61;;;;;;;;
Buenos Aires;;Tigre;29/4/2020;59;;;;;;;;
Buenos Aires;;San Isidro;29/4/2020;55;;;;;;;;
Buenos Aires;;La Plata;29/4/2020;52;;;;;;;;
Buenos Aires;;Merlo;29/4/2020;50;;;;;;;;
Buenos Aires;;Moreno;29/4/2020;49;;;;;;;;
Buenos Aires;;Morón;29/4/2020;47;;;;;;;;
Buenos Aires;;Lomas de Zamora;29/4/2020;46;;;;;;;;
Buenos Aires;;Avellaneda;29/4/2020;45;;;;;;;;
Buenos Aires;;Tres de Febrero;29/4/2020;39;;;;;;;;
Buenos Aires;;San Miguel;29/4/2020;39;;;;;;;;
Buenos Aires;;Almirante Brown;29/4/2020;38;;;;;;;;
Buenos Aires;;Escobar;29/4/2020;39;;;;;;;;
Buenos Aires;;Bahía Blanca;29/4/2020;35;;;;;;;;
Buenos Aires;;Florencio Varela;29/4/2020;35;;;;;;;;
Buenos Aires;;Lanús;29/4/2020;34;;;;;;;;
Buenos Aires;;Berazategui;29/4/2020;26;;;;;;;;
Buenos Aires;;Malvinas Argentinas;29/4/2020;30;;;;;;;;
Buenos Aires;;San Vicente;29/4/2020;26;;;;;;;;
Buenos Aires;;Ituzaingó;29/4/2020;25;;;;;;;;
Buenos Aires;;San Fernando;29/4/2020;24;;;;;;;;
Buenos Aires;;Esteban Echeverría;29/4/2020;21;;;;;;;;
Buenos Aires;;Ezeiza;29/4/2020;21;;;;;;;;
Buenos Aires;;General Pueyrredón;29/4/2020;17;;;;;;;;
Buenos Aires;;Luján;29/4/2020;16;;;;;;;;
Buenos Aires;;Hurlingham;29/4/2020;16;;;;;;;;
Buenos Aires;;José C. Paz;29/4/2020;14;;;;;;;;
Buenos Aires;;Brandsen;29/4/2020;8;;;;;;;;
Buenos Aires;;Campana;29/4/2020;7;;;;;;;;
Buenos Aires;;General Rodríguez;29/4/2020;6;;;;;;;;
Buenos Aires;;Zárate;29/4/2020;6;;;;;;;;
Buenos Aires;;Ensenada;29/4/2020;5;;;;;;;;
Buenos Aires;;San Nicolás;29/4/2020;5;;;;;;;;
Buenos Aires;;Cañuelas;29/4/2020;4;;;;;;;;
Buenos Aires;;Tandil;29/4/2020;4;;;;;;;;
Buenos Aires;;9 de Julio;29/4/2020;3;;;;;;;;
Buenos Aires;;Berisso;29/4/2020;3;;;;;;;;
Buenos Aires;;Chivilcoy;29/4/2020;3;;;;;;;;
Buenos Aires;;Colón;29/4/2020;3;;;;;;;;
Buenos Aires;;Necochea;29/4/2020;3;;;;;;;;
Buenos Aires;;Olavarría;29/4/2020;3;;;;;;;;
Buenos Aires;;San Antonio de Areco;29/4/2020;3;;;;;;;;
Buenos Aires;;Marcos Paz;29/4/2020;3;;;;;;;;
Buenos Aires;;Alberti;29/4/2020;2;;;;;;;;
Buenos Aires;;Azul;29/4/2020;2;;;;;;;;
Buenos Aires;;Carlos Casares;29/4/2020;2;;;;;;;;
Buenos Aires;;Dolores;29/4/2020;2;;;;;;;;
Buenos Aires;;Lobería;29/4/2020;2;;;;;;;;
Buenos Aires;;Pinamar;29/4/2020;2;;;;;;;;
Buenos Aires;;San Andrés de Giles;29/4/2020;2;;;;;;;;
Buenos Aires;;Trenque Lauquen;29/4/2020;2;;;;;;;;
Buenos Aires;;Bragado;29/4/2020;1;;;;;;;;
Buenos Aires;;Coronel Dorrego;29/4/2020;1;;;;;;;;
Buenos Aires;;Daireaux;29/4/2020;1;;;;;;;;
Buenos Aires;;Exaltación de la Cruz;29/4/2020;1;;;;;;;;
Buenos Aires;;Junín;29/4/2020;1;;;;;;;;
Buenos Aires;;La Costa;29/4/2020;1;;;;;;;;
Buenos Aires;;Lobos;29/4/2020;1;;;;;;;;
Buenos Aires;;Mar Chiquita;29/4/2020;1;;;;;;;;
Buenos Aires;;Mercedes;29/4/2020;1;;;;;;;;
Buenos Aires;;Patagones;29/4/2020;1;;;;;;;;
Buenos Aires;;Pergamino;29/4/2020;1;;;;;;;;
Buenos Aires;;Presidente Perón;29/4/2020;1;;;;;;;;
Buenos Aires;;Ramallo;29/4/2020;1;;;;;;;;
Buenos Aires;;Saladillo;29/4/2020;1;;;;;;;;
Buenos Aires;;San Cayetano;29/4/2020;1;;;;;;;;
Buenos Aires;;Tres Arroyos;29/4/2020;1;;;;;;;;
Santa Cruz;;El Calafate;29/4/2020;34;29;;;;;;;
Santa Cruz;;Río Gallegos;29/4/2020;6;4;;;;;;;
Santa Cruz;;Caleta Olivia;29/4/2020;6;;;;;;;;
Santa Cruz;;Puerto San Julián;29/4/2020;1;1;;;;;;;
Santa Cruz;;Pico Truncado;29/4/2020;1;1;;;;;;;
Santa Cruz;;Puerto Santa Cruz;29/4/2020;1;;;;;;;;
Chubut;;Comodoro Rivadavia;29/4/2020;2;;;;;;;;
Tierra del Fuego, Antártida e Islas del Atlántico Sur;;Ushuaia;29/4/2020;114;;;;;;;;
Tierra del Fuego, Antártida e Islas del Atlántico Sur;;Río Grande;29/4/2020;10;;;;;;;;
La Pampa;;General Pico;29/4/2020;1;;;;;;;;
La Pampa;;Santa Rosa;29/4/2020;4;;;;;;;;
Santiago del Estero;;Capital;29/4/2020;8;;;;;;;;
Santiago del Estero;;Robles;29/4/2020;3;;;;;;;;
Santiago del Estero;;Rivadavia;29/4/2020;2;;;;;;;;
Santiago del Estero;;Belgrano;29/4/2020;1;;;;;;;;
Misiones;;Puerto Iguazú;29/4/2020;2;;;;;;;;
Misiones;;Posadas;29/4/2020;1;;;;;;;;
Misiones;;Oberá;29/4/2020;1;;;;;;;;
Mendoza;;Guaymallén;29/4/2020;16;;;;;;;;
Mendoza;;Mendoza;29/4/2020;12;;;;;;;;
Mendoza;;Godoy Cruz;29/4/2020;13;;;;;;;;
Mendoza;;Las Heras;29/4/2020;10;;;;;;;;
Mendoza;;Luján de Cuyo;29/4/2020;8;;;;;;;;
Mendoza;;Maipú;29/4/2020;3;;;;;;;;
Mendoza;;Malargüe;29/4/2020;3;;;;;;;;
Mendoza;;San Rafael;29/4/2020;2;;;;;;;;
Mendoza;;Sin asignar;29/4/2020;3;;;;;;;;
Mendoza;;Tunuyán;29/4/2020;3;;;;;;;;
Mendoza;;Tupungato;29/4/2020;1;;;;;;;;
