nombre,nom_agl,departamen,provincia
Tapebicuá,Tapebicuá,Paso de los Libres,Corrientes
Saladas,Saladas,Saladas,Corrientes
San Lorenzo,San Lorenzo,Saladas,Corrientes
Ingenio Primer Correntino,Santa Ana,San Cosme,Corrientes
Paso de la Patria,Paso de la Patria,San Cosme,Corrientes
San Cosme,San Cosme,San Cosme,Corrientes
Santa Ana,Santa Ana,San Cosme,Corrientes
San Luis del Palmar,San Luis del Palmar,San Luis del Palmar,Corrientes
Colonia Carlos Pellegrini,Colonia Carlos Pellegrini,San Martín,Corrientes
Guaviraví,Guaviraví,San Martín,Corrientes
La Cruz,La Cruz,San Martín,Corrientes
Yapeyú,Yapeyú,San Martín,Corrientes
Loreto,Loreto,San Miguel,Corrientes
San Miguel,San Miguel,San Miguel,Corrientes
Chavarría,Chavarría,San Roque,Corrientes
Colonia Pando,Colonia Pando,San Roque,Corrientes
9 de Julio,9 de Julio,San Roque,Corrientes
Pedro R. Fernández,Pedro R. Fernández,San Roque,Corrientes
San Roque,San Roque,San Roque,Corrientes
José Rafael Gómez,José Rafael Gómez,Santo Tomé,Corrientes
Garruchos,Garruchos,Santo Tomé,Corrientes
Gobernador Igr. Valentín Virasoro,Gobernador Virasoro,Santo Tomé,Corrientes
Santo Tomé,Santo Tomé,Santo Tomé,Corrientes
Sauce,Sauce,Sauce,Corrientes
Concepción del Bermejo,Concepción del Bermejo,Almirante Brown,Chaco
Los Frentones,Los Frentones,Almirante Brown,Chaco
Pampa del Infierno,Pampa del Infierno,Almirante Brown,Chaco
Río Muerto,Los Frentones,Almirante Brown,Chaco
Taco Pozo,Taco Pozo,Almirante Brown,Chaco
General Vedia,General Vedia,Bermejo,Chaco
Isla del Cerrito,Isla del Cerrito,Bermejo,Chaco
La Leonesa,La Leonesa,Bermejo,Chaco
Las Palmas,Las Palmas,Bermejo,Chaco
Puerto Bermejo Nuevo,Puerto Bermejo,Bermejo,Chaco
Puerto Bermejo Viejo,Puerto Bermejo,Bermejo,Chaco
Puerto Eva Perón,Puerto Eva Perón,Bermejo,Chaco
Presidencia Roque Sáenz Peña,Presidencia Roque Sáenz Peña,Comandante Fernández,Chaco
Charata,Charata,Chacabuco,Chaco
Gancedo,Gancedo,12 de Octubre,Chaco
General Capdevila,General Capdevila,12 de Octubre,Chaco
General Pinedo,General Pinedo,12 de Octubre,Chaco
Mesón de Fierro,General Pinedo,12 de Octubre,Chaco
Pampa Landriel,General Pinedo,12 de Octubre,Chaco
Hermoso Campo,Hermoso Campo,2 de Abril,Chaco
Itín,Hermoso Campo,2 de Abril,Chaco
Chorotis,Chorotis,Fray Justo Santa María de Oro,Chaco
Santa Sylvina,Santa Sylvina,Fray Justo Santa María de Oro,Chaco
Venados Grandes,Chorotis,Fray Justo Santa María de Oro,Chaco
Corzuela,Corzuela,General Belgrano,Chaco
La Escondida,La Escondida,General Donovan,Chaco
La Verde,La Verde,General Donovan,Chaco
Lapachito,Lapachito,General Donovan,Chaco
Makallé,Makallé,General Donovan,Chaco
El Espinillo,Villa Río Bermejito,General Güemes,Chaco
El Sauzal,El Sauzalito,General Güemes,Chaco
El Sauzalito,El Sauzalito,General Güemes,Chaco
Fortín Lavalle,Villa Río Bermejito,General Güemes,Chaco
Fuerte Esperanza,Fuerte Esperanza,General Güemes,Chaco
Juan José Castelli,Juan José Castelli,General Güemes,Chaco
Miraflores,Miraflores,General Güemes,Chaco
Nueva Pompeya,Nueva Pompeya,General Güemes,Chaco
Villa Río Bermejito,Villa Río Bermejito,General Güemes,Chaco
Wichi,El Sauzalito,General Güemes,Chaco
Zaparinqui,Juan José Castelli,General Güemes,Chaco
Avia Terai,Avia Terai,Independencia,Chaco
Campo Largo,Campo Largo,Independencia,Chaco
Fortín Las Chuñas,Campo Largo,Independencia,Chaco
Napenay,Napenay,Independencia,Chaco
Colonia Popular,Colonia Popular,Libertad,Chaco
Estación General Obligado,Puerto Tirol,Libertad,Chaco
Laguna Blanca,Laguna Blanca,Libertad,Chaco
Puerto Tirol,Puerto Tirol,Libertad,Chaco
Ciervo Petiso,Ciervo Petiso,Libertador General San Martín,Chaco
General José de San Martín,General San Martín,Libertador General San Martín,Chaco
La Eduvigis,La Eduvigis,Libertador General San Martín,Chaco
Laguna Limpia,Laguna Limpia,Libertador General San Martín,Chaco
Pampa Almirón,Pampa Almirón,Libertador General San Martín,Chaco
Pampa del Indio,Pampa del Indio,Libertador General San Martín,Chaco
Presidencia Roca,Presidencia Roca,Libertador General San Martín,Chaco
Selvas del Río de Oro,La Eduvigis,Libertador General San Martín,Chaco
Tres Isletas,Tres Isletas,Maipú,Chaco
Coronel Du Graty,Coronel Du Graty,Mayor Luis Jorge Fontana,Chaco
Enrique Urien,Enrique Urién,Mayor Luis Jorge Fontana,Chaco
Villa Angela,Villa Ángela,Mayor Luis Jorge Fontana,Chaco
Las Breñas,Las Breñas,9 de Julio,Chaco
La Clotilde,La Clotilde,O'Higgins,Chaco
La Tigra,La Tigra,O'Higgins,Chaco
San Bernardo,San Bernardo,O'Higgins,Chaco
Presidencia de la Plaza,Presidencia de la Plaza,Presidencia de la Plaza,Chaco
Barrio de los Pescadores,Colonia Benítez,1ro. de Mayo,Chaco
Colonia Benítez,Colonia Benítez,1ro. de Mayo,Chaco
Margarita Belén,Margarita Belén,1ro. de Mayo,Chaco
Quitilipi,Quitilipi,Quitilipi,Chaco
Villa El Palmar,Quitilipi,Quitilipi,Chaco
Barranqueras,Barranqueras,San Fernando,Chaco
Basail,Basail,San Fernando,Chaco
Colonia Baranda,Resistencia,San Fernando,Chaco
Fontana,Fontana,San Fernando,Chaco
Puerto Vilelas,Puerto Vilelas,San Fernando,Chaco
Resistencia,Resistencia,San Fernando,Chaco
Samuhú,Samuhú,San Lorenzo,Chaco
Villa Berthet,Villa Berthet,San Lorenzo,Chaco
Capitán Solari,Capitán Solari,Sargento Cabral,Chaco
Colonia Elisa,Colonia Elisa,Sargento Cabral,Chaco
Colonias Unidas,Colonias Unidas,Sargento Cabral,Chaco
Ingeniero Barbet,Colonia Elisa,Sargento Cabral,Chaco
Las Garcitas,Las Garcitas,Sargento Cabral,Chaco
Charadai,Charadai,Tapenagá,Chaco
Cote Lai,Cote Lai,Tapenagá,Chaco
Haumonia,Charadai,Tapenagá,Chaco
Horquilla,Charadai,Tapenagá,Chaco
La Sabana,Charadai,Tapenagá,Chaco
Colonia Aborigen,Machagai,25 de Mayo,Chaco
Machagai,Machagai,25 de Mayo,Chaco
Napalpí,Machagai,25 de Mayo,Chaco
Arroyo Verde,sin gobierno local,San Antonio,Río Negro
Puerto Madryn,Puerto Madryn,Biedma,Chubut
Puerto Pirámides,Puerto Pirámides,Biedma,Chubut
Quintas El Mirador,Puerto Madryn,Biedma,Chubut
Reserva Area Protegida El Doradillo,Puerto Madryn,Biedma,Chubut
Buenos Aires Chico,El Maitén,Cushamen,Chubut
Cholila,Cholila,Cushamen,Chubut
Costa del Chubut,sin gobierno local,Cushamen,Chubut
Cushamen Centro,Cushamen Centro,Cushamen,Chubut
El Hoyo,El Hoyo,Cushamen,Chubut
El Maitén,El Maitén,Cushamen,Chubut
Epuyén,Epuyén,Cushamen,Chubut
Fofo Cahuel,sin gobierno local,Cushamen,Chubut
Gualjaina,Gualjaina,Cushamen,Chubut
Lago Epuyén,Epuyén,Cushamen,Chubut
Lago Puelo,Lago Puelo,Cushamen,Chubut
Leleque,sin gobierno local,Cushamen,Chubut
Astra,Comodoro Rivadavia,Escalante,Chubut
Bahía Bustamante,sin gobierno local,Escalante,Chubut
Comodoro Rivadavia,Comodoro Rivadavia,Escalante,Chubut
Diadema Argentina,Comodoro Rivadavia,Escalante,Chubut
Rada Tilly,Rada Tilly,Escalante,Chubut
Camarones,Camarones,Florentino Ameghino,Chubut
Garayalde,sin gobierno local,Florentino Ameghino,Chubut
Aldea Escolar (Los Rápidos),Trevelín,Futaleufú,Chubut
Corcovado,Corcovado,Futaleufú,Chubut
Esquel,Esquel,Futaleufú,Chubut
Lago Rosario,Trevelín,Futaleufú,Chubut
Los Cipreses,Trevelín,Futaleufú,Chubut
Trevelín,Trevelín,Futaleufú,Chubut
Villa Futalaufquen,sin gobierno local,Futaleufú,Chubut
Dique Florentino Ameghino,Dique Florentino Ameghino,Gaiman,Chubut
Dolavon,Dolavon,Gaiman,Chubut
Gaiman,Gaiman,Gaiman,Chubut
28 de Julio,28 de Julio,Gaiman,Chubut
Blancuntre,sin gobierno local,Gastre,Chubut
El Escorial,sin gobierno local,Gastre,Chubut
Gastre,Gastre,Gastre,Chubut
Lagunita Salada,Lagunita Salada,Gastre,Chubut
Yala Laubat,sin gobierno local,Gastre,Chubut
Aldea Epulef,Aldea Epulef,Languiñeo,Chubut
Carrenleufú,Carrenleufú,Languiñeo,Chubut
Colan Conhué,Colán Conhué,Languiñeo,Chubut
Paso del Sapo,Paso del Sapo,Languiñeo,Chubut
Tecka,Tecka,Languiñeo,Chubut
El Mirasol,sin gobierno local,Mártires,Chubut
Las Plumas,Las Plumas,Mártires,Chubut
Cerro Cóndor,sin gobierno local,Paso de Indios,Chubut
Los Altares,Los Altares,Paso de Indios,Chubut
Paso de Indios,Paso de Indios,Paso de Indios,Chubut
Playa Magagna,Rawson,Rawson,Chubut
Playa Unión,Rawson,Rawson,Chubut
Rawson,Rawson,Rawson,Chubut
Trelew,Trelew,Rawson,Chubut
Aldea Apeleg,Aldea Apeleg,Río Senguer,Chubut
Aldea Beleiro,Aldea Beleiro,Río Senguer,Chubut
Alto Río Senguer,Alto Río Senguer,Río Senguer,Chubut
Doctor Ricardo Rojas,Doctor Ricardo Rojas,Río Senguer,Chubut
Facundo,Facundo,Río Senguer,Chubut
Lago Blanco,Lago Blanco,Río Senguer,Chubut
Río Mayo,Río Mayo,Río Senguer,Chubut
Buen Pasto,Buen Pasto,Sarmiento,Chubut
Sarmiento,Sarmiento,Sarmiento,Chubut
Doctor Oscar Atilio Viglione (Frontera de Río Pico),Viglione,Tehuelches,Chubut
Gobernador Costa,Gobernador Costa,Tehuelches,Chubut
José de San Martín,José de San Martín,Tehuelches,Chubut
Río Pico,Río Pico,Tehuelches,Chubut
Gan Gan,Gan Gan,Telsen,Chubut
Telsen,Telsen,Telsen,Chubut
Arroyo Barú,Arroyo Barú,Colón,Entre Ríos
Colón,Colón,Colón,Entre Ríos
Colonia Hugues,Colón,Colón,Entre Ríos
Hambis,Hambis,Colón,Entre Ríos
Hocker,Hocker,Colón,Entre Ríos
La Clarita,La Clarita,Colón,Entre Ríos
Pueblo Cazes,Pueblo Cazes,Colón,Entre Ríos
Pueblo Liebig's,Pueblo Liebig's,Colón,Entre Ríos
San José,San José,Colón,Entre Ríos
Ubajay,Ubajay,Colón,Entre Ríos
Villa  Elisa,Villa Elisa,Colón,Entre Ríos
Calabacilla,Estancia Grande,Concordia,Entre Ríos
Clodomiro Ledesma,Clodomiro Ledesma,Concordia,Entre Ríos
Colonia Ayuí,Colonia Ayuí,Concordia,Entre Ríos
Colonia General Roca,Colonia General Roca,Concordia,Entre Ríos
Concordia,Concordia,Concordia,Entre Ríos
Estación Yeruá,Estación Yeruá,Concordia,Entre Ríos
Estación Yuquerí,ESTACION YUQUERI,Concordia,Entre Ríos
Estancia Grande,Estancia Grande,Concordia,Entre Ríos
La Criolla,La Criolla,Concordia,Entre Ríos
Los Charrúas,Los Charrúas,Concordia,Entre Ríos
Nueva Escocia,Nueva Escocia,Concordia,Entre Ríos
Osvaldo Magnasco,Concordia,Concordia,Entre Ríos
Pedernal,Pedernal,Concordia,Entre Ríos
Puerto Yeruá,Puerto Yeruá,Concordia,Entre Ríos
Aldea Brasilera,Aldea Brasilera,Diamante,Entre Ríos
Aldea Grapschental,Aldea Grapschental,Diamante,Entre Ríos
Aldea Protestante,Aldea Protestante,Diamante,Entre Ríos
Aldea Salto,Aldea Salto,Diamante,Entre Ríos
Aldea San Francisco,General Alvear,Diamante,Entre Ríos
Aldea Spatzenkutter,Aldea Spatzenkutter,Diamante,Entre Ríos
Aldea Valle María,Aldea Valle María,Diamante,Entre Ríos
Colonia Ensayo,Colonia Ensayo,Diamante,Entre Ríos
Diamante,Diamante,Diamante,Entre Ríos
Estación Camps,Estación Camps,Diamante,Entre Ríos
General Alvear,General Alvear,Diamante,Entre Ríos
General Racedo (El Carmen),El Carmen - Estación Racedo,Diamante,Entre Ríos
General Ramírez,General Ramírez,Diamante,Entre Ríos
La Juanita,Colonia Ensayo,Diamante,Entre Ríos
Las Jaulas,Colonia Ensayo,Diamante,Entre Ríos
Paraje La Virgen,Aldea Brasilera,Diamante,Entre Ríos
Puerto Las Cuevas,Las Cuevas,Diamante,Entre Ríos
Villa Libertador San Martín,Villa Libertador San Martín,Diamante,Entre Ríos
Chajarí,Chajarí,Federación,Entre Ríos
Colonia Alemana,Colonia Alemana,Federación,Entre Ríos
Colonia La Argentina,Colonia La Argentina,Federación,Entre Ríos
Colonia Peña,San Ramón,Federación,Entre Ríos
Federación,Federación,Federación,Entre Ríos
Los Conquistadores,Los Conquistadores,Federación,Entre Ríos
San Jaime de la Frontera,San Jaime de la Frontera,Federación,Entre Ríos
San Pedro,San Pedro,Federación,Entre Ríos
San Ramón,San Ramón,Federación,Entre Ríos
Santa Ana,Santa Ana,Federación,Entre Ríos
Villa del Rosario,Villa del Rosario,Federación,Entre Ríos
Conscripto Bernardi,Conscripto Bernardi,Federal,Entre Ríos
Aldea San Isidro (El Cimarrón),El Cimarrón,Federal,Entre Ríos
Federal,Federal,Federal,Entre Ríos
Nueva Vizcaya,Nueva Vizcaya,Federal,Entre Ríos
Sauce de Luna,Sauce de Luna,Federal,Entre Ríos
San José de Feliciano,San José de Feliciano,Feliciano,Entre Ríos
San Víctor,San Víctor,Feliciano,Entre Ríos
Aldea Asunción,Aldea Asunción,Gualeguay,Entre Ríos
Estación Lazo,Estación Lazo,Gualeguay,Entre Ríos
General Galarza,General Galarza,Gualeguay,Entre Ríos
Gualeguay,Gualeguay,Gualeguay,Entre Ríos
Puerto Ruiz,Gualeguay,Gualeguay,Entre Ríos
Aldea San Antonio,Aldea San Antonio,Gualeguaychú,Entre Ríos
Aldea San Juan,Aldea San Juan,Gualeguaychú,Entre Ríos
Enrique Carbó,Enrique Carbó,Gualeguaychú,Entre Ríos
Estación Escriña,Estación Escriña,Gualeguaychú,Entre Ríos
Faustino M. Parera,Faustino M. Parera,Gualeguaychú,Entre Ríos
General Almada,General Almada,Gualeguaychú,Entre Ríos
Gilbert,Gilbert,Gualeguaychú,Entre Ríos
Gualeguaychú,Gualeguaychú,Gualeguaychú,Entre Ríos
Irazusta,Irazusta,Gualeguaychú,Entre Ríos
Larroque,Larroque,Gualeguaychú,Entre Ríos
Pastor Britos,Pastor Britos,Gualeguaychú,Entre Ríos
Pueblo General Belgrano,Pueblo General Belgrano,Gualeguaychú,Entre Ríos
Urdinarrain,Urdinarrain,Gualeguaychú,Entre Ríos
Ceibas,Ceibas,Islas del Ibicuy,Entre Ríos
Ibicuy,Ibicuy,Islas del Ibicuy,Entre Ríos
Médanos,Médanos,Islas del Ibicuy,Entre Ríos
Villa Paranacito,Villa Paranacito,Islas del Ibicuy,Entre Ríos
Alcaraz,Alcaraz,La Paz,Entre Ríos
Bovril,Bovril,La Paz,Entre Ríos
Colonia Avigdor,Colonia Avigdor,La Paz,Entre Ríos
El Solar,El Solar,La Paz,Entre Ríos
La Paz,La Paz,La Paz,Entre Ríos
Piedras Blancas,Piedras Blancas,La Paz,Entre Ríos
San Gustavo,San Gustavo,La Paz,Entre Ríos
Santa Elena,Santa Elena,La Paz,Entre Ríos
Sir Leonard,Sir Leonard,La Paz,Entre Ríos
Aranguren,Aranguren,Nogoyá,Entre Ríos
Betbeder,Betbeder,Nogoyá,Entre Ríos
Don Cristóbal,Don Cristóbal Segundo,Nogoyá,Entre Ríos
Febré,Febré,Nogoyá,Entre Ríos
Hernández,Hernández,Nogoyá,Entre Ríos
Lucas González,Lucas González,Nogoyá,Entre Ríos
Nogoyá,Nogoyá,Nogoyá,Entre Ríos
XX de Setiembre,Xx de Setiembre,Nogoyá,Entre Ríos
Aldea María Luisa,Aldea María Luisa,Paraná,Entre Ríos
Aldea San Juan,Crespo,Paraná,Entre Ríos
Aldea San Rafael,Aldea San Rafael,Paraná,Entre Ríos
Aldea Santa María,Aldea Santa María,Paraná,Entre Ríos
Aldea Santa Rosa,Aldea Santa Rosa,Paraná,Entre Ríos
Cerrito,Cerrito,Paraná,Entre Ríos
Colonia Avellaneda,Colonia Avellaneda,Paraná,Entre Ríos
Colonia Crespo,Colonia Crespo,Paraná,Entre Ríos
Crespo,Crespo,Paraná,Entre Ríos
El Palenque,El Palenque,Paraná,Entre Ríos
El Pingo,El Pingo,Paraná,Entre Ríos
El Ramblón,Quebracho,Paraná,Entre Ríos
Hasenkamp,Hasenkamp,Paraná,Entre Ríos
Hernandarias,Hernandarias,Paraná,Entre Ríos
La Picada,La Picada,Paraná,Entre Ríos
Las Tunas,Las Tunas,Paraná,Entre Ríos
María Grande,María Grande,Paraná,Entre Ríos
Oro Verde,Oro Verde,Paraná,Entre Ríos
Paraná,Paraná,Paraná,Entre Ríos
Pueblo Bellocq (Las Garzas),Las Garzas,Paraná,Entre Ríos
Pueblo Brugo,Pueblo Brugo,Paraná,Entre Ríos
Pueblo General San Martín,Curtiembre,Paraná,Entre Ríos
San Benito,San Benito,Paraná,Entre Ríos
Sauce Montrull,Sauce Montrull,Paraná,Entre Ríos
Sauce Pinto,Sauce Pinto,Paraná,Entre Ríos
Seguí,Seguí,Paraná,Entre Ríos
Sosa,Sosa,Paraná,Entre Ríos
Tabossi,Tabossi,Paraná,Entre Ríos
Tezanos Pinto,Tezanos Pinto,Paraná,Entre Ríos
Viale,Viale,Paraná,Entre Ríos
Villa Fontana,Villa Fontana,Paraná,Entre Ríos
Villa Gdor. Luis F. Etchevehere,Villa Gobernador Etchevehere,Paraná,Entre Ríos
Villa Urquiza,Villa Urquiza,Paraná,Entre Ríos
General Campos,General Campos,San Salvador,Entre Ríos
San Salvador,San Salvador,San Salvador,Entre Ríos
Altamirano Sur,Altamirano Sur,Tala,Entre Ríos
Durazno,Durazno,Tala,Entre Ríos
Estación Arroyo Clé,Arroyo Cle,Tala,Entre Ríos
Gobernador Echagüe,Gobernador Echagüe,Tala,Entre Ríos
Gobernador Mansilla,Gobernador Mansilla,Tala,Entre Ríos
Gobernador Solá,Solá,Tala,Entre Ríos
Guardamonte,Guardamonte,Tala,Entre Ríos
Las Guachas,Las Guachas,Tala,Entre Ríos
Maciá,Maciá,Tala,Entre Ríos
Rosario del Tala,Rosario del Tala,Tala,Entre Ríos
Basavilbaso,Basavilbaso,Uruguay,Entre Ríos
Caseros,Caseros,Uruguay,Entre Ríos
Colonia Elía,Colonia Elía,Uruguay,Entre Ríos
Concepción del Uruguay,Concepción del Uruguay,Uruguay,Entre Ríos
Herrera,Herrera,Uruguay,Entre Ríos
Las Moscas,Las Moscas,Uruguay,Entre Ríos
Líbaros,Estación Líbaros,Uruguay,Entre Ríos
1° de Mayo,1° de Mayo,Uruguay,Entre Ríos
Pronunciamiento,Pronunciamiento,Uruguay,Entre Ríos
Rocamora,Rocamora,Uruguay,Entre Ríos
Santa Anita,Santa Anita,Uruguay,Entre Ríos
Villa Mantero,Villa Mantero,Uruguay,Entre Ríos
Villa San Justo,San Justo,Uruguay,Entre Ríos
Villa San Marcial (Est. Gobernador Urquiza),San Marcial,Uruguay,Entre Ríos
Antelo,Antelo,Victoria,Entre Ríos
Molino Doll,Molino Doll,Victoria,Entre Ríos
Victoria,Victoria,Victoria,Entre Ríos
Estación Raíces,Estación Raíces,Villaguay,Entre Ríos
Ingeniero Miguel Sajaroff,Ingeniero Miguel Sajaroff,Villaguay,Entre Ríos
Jubileo,Jubileo,Villaguay,Entre Ríos
Paso de la Laguna,Paso de La Laguna,Villaguay,Entre Ríos
Villa Clara,Villa Clara,Villaguay,Entre Ríos
Villa Domínguez,Villa Domínguez,Villaguay,Entre Ríos
Villaguay,Villaguay,Villaguay,Entre Ríos
Fortín Soledad,sin gobierno local,Bermejo,Formosa
Guadalcazar,sin gobierno local,Bermejo,Formosa
La Rinconada,sin gobierno local,Bermejo,Formosa
Laguna Yema,Laguna Yema,Bermejo,Formosa
Lamadrid,sin gobierno local,Bermejo,Formosa
Los Chiriguanos,Los Chiriguanos,Bermejo,Formosa
Pozo de Maza,Pozo de Maza,Bermejo,Formosa
Pozo del Mortero,Pozo del Mortero,Bermejo,Formosa
Vaca Perdida,sin gobierno local,Bermejo,Formosa
Colonia Pastoril,Colonia Pastoril,Formosa,Formosa
Formosa,Formosa,Formosa,Formosa
Gran Guardia,Gran Guardia,Formosa,Formosa
Mariano Boedo,Mariano Boedo,Formosa,Formosa
Mojón de Fierro,Mojón de Fierro,Formosa,Formosa
San Hilario,San Hilario,Formosa,Formosa
Villa del Carmen,Villa del Carmen,Formosa,Formosa
Banco Payaguá,Banco Payaguá,Laishí,Formosa
General Lucio V. Mansilla,General Lucio V. Mansilla,Laishí,Formosa
Herradura,Herradura,Laishí,Formosa
San Francisco de Laishi,Misión San Francisco de Laishi,Laishí,Formosa
Tatané,Tatané,Laishí,Formosa
Villa Escolar,Villa Escolar,Laishí,Formosa
Ingeniero Guillermo N. Juárez,"Ingeniero Guillermo Nicasio Juárez,Ingeniero Guillermo N. Juárez",Matacos,Formosa
Bartolomé de las Casas,Bartolomé de las Casas,Patiño,Formosa
Colonia Sarmiento,Colonia Sarmiento,Patiño,Formosa
Comandante Fontana,Comandante Fontana,Patiño,Formosa
El Recreo,El Recreo,Patiño,Formosa
Estanislao del Campo,Estanislao del Campo,Patiño,Formosa
Fortín Cabo 1° Lugones,Fortín Cabo 1° Lugones,Patiño,Formosa
Fortín Sargento 1° Leyes,Fortín Sargento 1° Leyes,Patiño,Formosa
Ibarreta,Ibarreta,Patiño,Formosa
Juan G. Bazán,Juan G. Bazán,Patiño,Formosa
Las Lomitas,Las Lomitas,Patiño,Formosa
Posta Cambio Zalazar,Posta Cambio Zalazar,Patiño,Formosa
Pozo del Tigre,Pozo del Tigre,Patiño,Formosa
San Martín I,San Martín I,Patiño,Formosa
San Martín II,San Martín Dos,Patiño,Formosa
Subteniente Perín,Subteniente Perín,Patiño,Formosa
Villa General Güemes,"General Güemes,Villa General Güemes",Patiño,Formosa
Villa General Manuel Belgrano,General Manuel Belgrano,Patiño,Formosa
Buena Vista,Buena Vista,Pilagás,Formosa
El Espinillo,El Espinillo,Pilagás,Formosa
Laguna Gallo,Laguna Gallo,Pilagás,Formosa
Misión Tacaaglé,Misión Tacaaglé,Pilagás,Formosa
Portón Negro,Portón Negro,Pilagás,Formosa
Tres Lagunas,Tres Lagunas,Pilagás,Formosa
Clorinda,Clorinda,Pilcomayo,Formosa
Laguna Blanca,Laguna Blanca,Pilcomayo,Formosa
Laguna Naick-Neck,Laguna Naick - Neck,Pilcomayo,Formosa
Palma Sola,Palma Sola,Pilcomayo,Formosa
Puerto Pilcomayo,Clorinda,Pilcomayo,Formosa
Riacho He-He,Riacho He-He,Pilcomayo,Formosa
Riacho Negro,Riacho Negro,Pilcomayo,Formosa
Siete Palmas,Siete Palmas,Pilcomayo,Formosa
Colonia Campo Villafañe,"Mayor Vicente E. Villafañe,Mayor Villafañe",Pirané,Formosa
El Colorado,El Colorado,Pirané,Formosa
Palo Santo,Palo Santo,Pirané,Formosa
Pirané,Pirané,Pirané,Formosa
Villa Kilómetro 213,Villa Dos Trece,Pirané,Formosa
El Potrillo,El Potrillo,Ramón Lista,Formosa
General Mosconi,"General Enrique Mosconi,General Mosconi",Ramón Lista,Formosa
El Quebracho,sin gobierno local,Ramón Lista,Formosa
Abdón Castro Tolay,Abdón Castro Tolay,Cochinoca,Jujuy
Abra Pampa,Abra Pampa,Cochinoca,Jujuy
Abralaite,Abralaite,Cochinoca,Jujuy
Agua de Castilla,Abralaite,Cochinoca,Jujuy
Casabindo,Abra Pampa,Cochinoca,Jujuy
Cochinoca,Abra Pampa,Cochinoca,Jujuy
La Redonda,Puesto del Marquez,Cochinoca,Jujuy
Puesto del Marquéz,Puesto del Marquez,Cochinoca,Jujuy
Quebraleña,Abralaite,Cochinoca,Jujuy
Quera,Abralaite,Cochinoca,Jujuy
Rinconadillas,Abdón Castro Tolay,Cochinoca,Jujuy
San Francisco de Alfarcito,Abdón Castro Tolay,Cochinoca,Jujuy
Santa Ana de la Puna,Abdón Castro Tolay,Cochinoca,Jujuy
Santuario de Tres Pozos,Abdón Castro Tolay,Cochinoca,Jujuy
Tambillos,Abra Pampa,Cochinoca,Jujuy
Tusaquillas,Abdón Castro Tolay,Cochinoca,Jujuy
Aguas Calientes,Aguas Calientes,El Carmen,Jujuy
Barrio El Milagro,Monterrico,El Carmen,Jujuy
Barrio La Unión,Perico,El Carmen,Jujuy
El Carmen,El Carmen,El Carmen,Jujuy
Los Lapachos,Monterrico,El Carmen,Jujuy
Loteo San Vicente,Monterrico,El Carmen,Jujuy
Manantiales,Puesto Viejo,El Carmen,Jujuy
Monterrico,Monterrico,El Carmen,Jujuy
Pampa Blanca,Pampa Blanca,El Carmen,Jujuy
Perico,Perico,El Carmen,Jujuy
Puesto Viejo,Puesto Viejo,El Carmen,Jujuy
San Isidro,Aguas Calientes,El Carmen,Jujuy
San Juancito,Perico,El Carmen,Jujuy
Guerrero,San Salvador de Jujuy,Dr. Manuel Belgrano,Jujuy
La Almona,San Salvador de Jujuy,Dr. Manuel Belgrano,Jujuy
León,Yala,Dr. Manuel Belgrano,Jujuy
Lozano,Yala,Dr. Manuel Belgrano,Jujuy
Ocloyas,San Salvador de Jujuy,Dr. Manuel Belgrano,Jujuy
San Salvador de Jujuy,San Salvador de Jujuy,Dr. Manuel Belgrano,Jujuy
Tesorero,Yala,Dr. Manuel Belgrano,Jujuy
Yala,Yala,Dr. Manuel Belgrano,Jujuy
Uquía,Humahuaca,Humahuaca,Jujuy
Palca de Aparzo,Humahuaca,Humahuaca,Jujuy
Aparzo,Humahuaca,Humahuaca,Jujuy
Cianzo,Humahuaca,Humahuaca,Jujuy
Coctaca,Humahuaca,Humahuaca,Jujuy
El Aguilar,El Aguilar,Humahuaca,Jujuy
Hipólito Yrigoyen,Hipólito Yrigoyen,Humahuaca,Jujuy
Humahuaca,Humahuaca,Humahuaca,Jujuy
Palca de Varas,Humahuaca,Humahuaca,Jujuy
Rodero,Humahuaca,Humahuaca,Jujuy
Tres Cruces,Tres Cruces,Humahuaca,Jujuy
Paulina,Libertador General San Martín,Ledesma,Jujuy
Calilegua,Calilegua,Ledesma,Jujuy
Bananal,Yuto,Ledesma,Jujuy
Bermejito,Calilegua,Ledesma,Jujuy
Caimancito,Caimancito,Ledesma,Jujuy
Chalicán,Fraile Pintado,Ledesma,Jujuy
Fraile Pintado,Fraile Pintado,Ledesma,Jujuy
Libertad,Calilegua,Ledesma,Jujuy
Libertador General San Martín,Libertador General San Martín,Ledesma,Jujuy
Maíz Negro,Fraile Pintado,Ledesma,Jujuy
Yuto,Yuto,Ledesma,Jujuy
Carahunco,Palpalá,Palpalá,Jujuy
Centro Forestal,Palpalá,Palpalá,Jujuy
Palpalá,Palpalá,Palpalá,Jujuy
Lagunillas de Farallón,Cusi Cusi,Rinconada,Jujuy
Casa Colorada,Rinconada,Rinconada,Jujuy
Coyaguaima,Mina Pirquitas,Rinconada,Jujuy
Liviara,Mina Pirquitas,Rinconada,Jujuy
Loma Blanca,Mina Pirquitas,Rinconada,Jujuy
Nuevo Pirquitas,Mina Pirquitas,Rinconada,Jujuy
Orosmayo,Mina Pirquitas,Rinconada,Jujuy
Rinconada,Rinconada,Rinconada,Jujuy
San Antonio,San Antonio,San Antonio,Jujuy
